"","caseid","id_svv_2","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","a90","a91","a92","a93","a94","a95","a96","a97","b6","b7","b11","b13","b15","b17","b19","b21","b23","b25","b26","b27","b28","b29","b30","b31","b32","b33","b34","b35","b36","b37","b38","b39","b40","b41","b42","b43","b44","b45","b46","b47","b48","b49","b50","b51","b52","b53","b54","b55","b56","b57","b58","b59","b60","b61","b62","b63","b64","b66","b67","b69","b70","b71","b72","b73","b75","b78","b81","b84","b87","b89","b91","b93","c6","c9","c12","c15","c18","c21","c24","c27","c28","c29","c30","c31","c32","c33","c34","c36","c38","c40","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c56","c57","c60","c62","c63","c65","c67","c68","c69","c72","c75","c77","c78","c80","c81","c82","c84","c86","c87","c88","c89","c90","c93","c94","day","month","origin","d5","d6","d8","d10","d11","d13","d14","d15","d16","d17","d18","d19","d20","d21","d23","d24","d25","d26","d27","d28","d29","d30","d31","d33","d34","d36","d37","d38","d40","sevev"
"24",32,870,3,4,21,5,5,4,6,7,4,3,2,4,3,3,3,2,1,1,4,3,2,1,6,7,5,2,7,6,6,6,2,1,3,2,4,1,1,1,1,4,1,3,1,2,3,2,4,2,4,2,2,5,4,4,NA,5,8,6,NA,NA,2,5,3,NA,6,6,NA,NA,4,4,NA,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,5,3,6,6,7,8,NA,2,1,1,1,1,1,1,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,5,NA,2,NA,2,NA,NA,NA,3,NA,4,6,3,3,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,1,4,3,NA,NA,NA,NA,8,8,8,54,2,16,93,1,25,1,1,1,16,16,16,1,"",1,NA,2,2,4,NA,2,2,41,3,1,1,3,3,1,4,38,3,6,4,2,2,3,5,4,5,4,17,5,4,4,5,4,3,2,1,54,1,16,2,3,4,4,1
"25",33,NA,4,3,1,2,3,2,6,NA,4,4,NA,3,3,4,4,4,2,4,2,1,3,4,7,7,7,7,7,7,2,5,3,1,3,4,4,1,1,2,3,3,2,2,3,2,3,1,2,7,9,9,2,1,4,4,1,7,6,2,NA,1,4,8,7,1,1,1,1,9,7,2,NA,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6,4,4,5,10,10,1,2,1,3,1,1,1,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,1,2,1,2,1,NA,NA,1,5,2,5,2,2,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,8,8,1,58,2,1,NA,NA,NA,NA,NA,NA,1,1,12,2,"84",NA,1,3,2,3,1,3,1,94,1,1,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"26",34,113,3,3,21,2,3,7,7,6,2,3,1,2,3,2,1,3,1,2,1,3,4,2,3,7,3,5,7,4,6,6,3,1,3,3,3,1,1,2,4,3,3,2,3,3,2,4,4,6,7,7,2,5,7,8,2,4,4,3,NA,6,7,8,4,5,7,4,2,4,3,3,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,6,3,5,7,7,7,4,2,1,3,3,1,1,1,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,5,NA,3,2,1,2,NA,NA,6,2,1,5,2,3,NA,NA,1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,4,NA,NA,NA,NA,2,8,2,73,2,70,51,NA,NA,NA,NA,NA,70,70,12,2,"Y3",3,5,4,2,2,1,1,1,332,1,1,1,3,2,1,99,56,4,6,3,2,2,4,5,5,2,5,20,4,4,5,4,2,4,1,NA,73,1,12,1,1,30,3,1
"27",35,1187,4,3,7,2,3,4,4,NA,4,3,1,3,2,3,4,3,2,1,1,2,3,4,6,5,4,5,7,5,7,3,1,1,3,2,2,1,2,2,2,3,3,3,3,1,4,2,2,6,6,6,2,2,3,6,1,7,7,2,NA,1,2,8,2,4,8,8,1,7,6,2,1,3,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,4,2,2,8,8,1,2,2,3,2,1,3,3,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,2,1,2,3,2,1,NA,NA,5,4,1,5,2,3,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,4,2,3,NA,NA,NA,NA,2,2,1,41,2,1,NA,NA,NA,NA,NA,NA,56,1,12,2,"41",3,2,6,5,3,1,1,1,402,1,1,1,3,8,1,2,24,3,4,3,2,4,3,3,5,3,3,18,3,2,4,2,3,4,4,2,41,1,12,1,1,10,4,1
"28",36,136,4,4,1,2,2,3,5,1,4,4,1,4,2,4,4,4,2,2,2,1,3,4,7,5,5,7,7,4,4,2,3,2,3,4,4,1,1,1,2,3,4,4,4,1,4,1,4,4,6,8,1,1,1,1,1,3,2,3,NA,1,1,1,1,2,1,2,1,3,3,2,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,5,4,4,6,8,7,0,1,3,1,1,1,1,3,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,2,1,2,1,2,1,NA,NA,1,5,3,1,NA,4,NA,NA,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,2,4,3,1,NA,NA,NA,NA,2,2,1,29,4,1,NA,NA,NA,NA,NA,NA,1,1,15,2,"32",5,1,3,4,3,1,4,1,50,1,1,1,3,6,1,7,16,4,3,4,1,4,5,4,5,4,5,20,4,2,5,2,5,3,3,1,29,1,15,1,1,30,3,1
"29",37,NA,3,3,17,5,5,5,7,7,2,2,1,4,4,4,4,4,2,4,3,4,1,2,7,3,7,7,3,3,3,1,2,1,1,1,2,2,2,2,4,4,4,4,4,1,1,1,4,5,5,5,1,10,1,2,1,3,3,3,NA,5,1,1,10,3,10,3,1,3,3,5,NA,5,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,8,1,10,3,3,3,0,2,1,1,3,1,2,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,2,1,2,3,4,NA,NA,NA,1,3,1,6,4,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,2,3,NA,NA,NA,NA,1,2,1,56,2,66,48,NA,NA,NA,NA,NA,66,66,15,1,"22",3,1,5,2,3,1,2,1,349,1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"30",38,429,3,4,26,4,2,7,5,5,4,3,1,2,2,4,4,3,2,3,3,2,4,1,7,7,5,1,7,7,7,2,2,1,2,4,4,1,2,1,3,4,1,4,3,3,4,2,3,5,8,7,1,3,8,5,1,6,6,7,NA,6,8,5,7,6,8,3,1,8,4,3,2,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,6,3,4,7,7,7,0,2,1,3,3,1,1,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,1,2,3,3,1,NA,NA,5,5,1,6,4,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,4,3,NA,NA,NA,NA,1,3,1,34,3,1,NA,NA,NA,NA,NA,NA,51,1,12,2,"84",3,3,5,3,3,1,2,1,297,1,1,28,2,10,1,3,91,NA,1,3,1,5,5,5,5,5,5,18,5,3,5,2,3,3,2,1,35,1,NA,1,1,2,4,1
"31",39,352,3,3,17,3,5,3,5,NA,NA,4,1,3,3,2,3,1,3,1,1,3,4,2,2,7,7,4,7,2,7,7,1,2,2,2,NA,1,1,3,1,1,3,1,1,NA,1,3,4,5,5,5,1,8,6,5,4,6,6,3,NA,3,5,4,5,7,7,1,3,3,1,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,7,2,5,6,10,6,10,2,1,1,2,1,3,3,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,1,3,2,3,5,NA,NA,NA,4,4,4,5,2,4,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,4,2,3,NA,NA,NA,NA,2,2,1,51,1,17,94,1,10,1,1,2,17,17,20,1,"01",3,3,3,4,4,1,1,1,135,1,1,28,2,3,2,NA,99,3,4,3,1,2,2,4,4,4,3,17,2,4,2,3,4,1,3,2,51,1,20,1,1,31,3,1
"32",40,916,3,4,17,5,3,5,1,1,4,4,1,4,1,4,4,4,2,3,1,2,3,4,7,7,1,1,7,7,7,1,3,3,3,4,4,1,1,1,4,4,3,3,2,2,2,2,1,6,9,9,2,1,1,1,1,9,9,9,NA,1,5,5,1,9,9,9,1,1,5,NA,NA,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,8,0,0,5,10,10,0,2,2,2,1,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,3,1,2,1,2,1,NA,NA,6,4,1,5,2,3,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,1,3,NA,NA,NA,NA,8,2,1,30,3,1,NA,NA,NA,NA,NA,NA,61,61,12,2,"83",4,3,4,3,2,1,3,1,271,1,1,28,2,7,1,5,21,2,6,2,1,2,4,3,4,4,5,18,4,4,4,4,4,1,2,2,30,1,12,1,1,5,4,1
"33",41,NA,1,3,17,5,3,7,5,9,2,4,1,2,1,4,3,4,2,3,4,3,1,2,7,7,7,7,7,7,7,7,3,3,3,4,4,2,1,1,2,4,4,3,4,1,1,3,3,9,9,9,3,10,6,6,6,6,6,6,NA,10,6,6,6,6,6,6,6,6,6,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,5,5,10,1,2,3,1,2,1,2,2,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,1,2,1,3,1,3,NA,NA,1,5,15,5,2,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,4,1,NA,NA,NA,NA,8,2,1,24,2,1,NA,NA,NA,NA,NA,NA,1,1,12,2,"93",NA,NA,NA,NA,NA,1,NA,1,335,1,1,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"34",42,351,3,3,21,2,3,2,7,3,1,2,2,2,3,2,2,4,1,2,3,4,1,2,1,7,7,1,7,1,7,7,1,2,2,2,3,3,3,3,1,4,4,4,1,4,1,1,2,7,7,8,2,8,7,1,7,1,1,1,NA,6,5,1,5,1,8,1,3,1,1,2,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,10,3,5,10,10,10,3,1,1,1,2,1,2,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,3,2,1,3,3,2,NA,NA,6,5,3,5,4,1,NA,NA,1,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,1,2,3,NA,NA,NA,NA,8,3,1,50,2,2,64,NA,NA,NA,NA,NA,2,2,12,2,"31",2,2,3,4,3,1,1,1,366,1,1,1,3,4,1,99,15,2,2,3,2,2,2,2,5,4,4,18,4,5,4,3,3,3,4,2,50,1,13,1,1,31,3,1
"35",43,427,1,2,26,1,3,6,7,8,2,2,1,2,3,2,1,2,1,3,1,4,3,2,2,3,5,3,5,3,4,3,3,1,2,2,2,2,2,2,3,3,3,2,2,3,2,3,4,7,5,8,2,7,5,2,2,5,1,2,NA,8,5,1,4,2,6,9,3,5,3,1,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,8,2,7,5,8,8,0,2,1,1,3,1,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,1,2,1,2,5,NA,NA,NA,5,5,1,2,4,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,4,3,NA,NA,NA,NA,2,3,1,48,3,1,NA,NA,NA,NA,NA,NA,66,66,19,1,"21",3,2,7,6,3,1,3,1,45,1,1,1,3,8,1,1,14,3,6,4,2,2,4,5,5,4,4,18,3,4,1,3,4,4,2,1,48,1,19,1,1,2,4,1
"36",44,135,3,3,21,3,3,NA,NA,NA,2,3,2,NA,3,3,4,2,4,3,1,3,2,4,1,7,6,6,7,4,7,6,1,1,1,2,2,2,2,2,1,3,3,3,2,3,2,4,4,5,6,5,3,2,1,3,4,1,7,2,NA,1,1,3,1,1,4,4,3,1,2,2,1,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,2,3,7,8,6,2,2,1,3,3,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,NA,5,NA,1,3,5,NA,NA,NA,4,5,2,5,2,3,NA,NA,1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,4,3,NA,NA,NA,NA,1,2,8,NA,2,1,NA,NA,NA,NA,NA,NA,1,1,17,1,"69",3,1,3,1,3,1,1,1,332,1,1,1,3,6,1,13,91,1,1,3,1,2,2,1,5,4,5,20,2,2,1,2,2,7,4,1,68,1,15,1,1,30,3,1
"37",45,625,2,4,1,2,3,3,5,4,4,4,1,4,3,4,4,4,2,3,1,2,4,3,7,6,6,7,7,7,5,4,3,2,3,4,4,1,1,3,2,3,4,2,1,1,4,1,3,9,9,NA,1,1,1,4,1,9,5,6,NA,1,1,5,1,6,1,5,1,10,10,2,NA,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,3,1,1,5,8,6,1,1,1,3,1,1,NA,3,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,5,NA,2,1,2,1,NA,NA,2,2,16,1,NA,4,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,1,4,3,NA,NA,NA,NA,1,2,1,32,4,1,NA,NA,NA,NA,NA,NA,2,58,12,2,"08",4,1,5,6,2,1,4,1,50,1,1,1,3,10,1,5,57,4,6,4,1,3,3,1,4,5,5,20,3,4,1,2,4,1,1,1,32,1,12,1,1,3,4,1
"38",46,134,3,3,23,2,3,5,5,5,3,4,2,2,2,2,3,3,2,2,4,3,NA,NA,7,7,5,4,7,7,7,7,2,1,3,3,2,1,1,2,3,2,3,2,3,1,1,2,2,6,5,5,2,8,7,3,3,2,3,8,NA,9,8,3,7,7,10,9,9,1,2,3,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,8,8,7,6,7,7,2,1,1,3,1,1,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,1,2,1,3,1,2,NA,NA,5,5,3,5,1,4,NA,NA,1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,3,NA,NA,NA,NA,NA,1,4,1,68,2,25,47,NA,NA,NA,NA,NA,25,25,11,NA,"43",4,5,3,2,3,1,2,1,392,1,1,1,3,3,1,3,17,3,3,3,1,2,4,4,2,4,5,20,4,4,4,2,3,8,1,2,68,1,12,1,1,30,3,1
"39",47,NA,2,2,1,5,1,8,9,6,3,2,1,3,1,3,4,3,2,1,1,3,NA,NA,3,2,1,1,7,7,7,7,1,1,3,3,3,1,1,3,3,2,3,3,3,2,3,1,1,9,6,6,2,10,1,8,5,6,5,4,NA,5,6,5,5,7,6,6,3,3,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,10,0,5,8,0,0,5,2,1,2,2,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,2,1,3,1,3,NA,NA,2,5,2,5,9,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,1,8,1,28,1,1,NA,NA,NA,NA,NA,NA,1,1,16,1,"Y1",3,1,5,5,2,1,1,1,392,1,1,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"40",48,NA,2,3,23,2,3,7,7,7,2,2,1,1,4,4,4,2,1,2,3,1,4,2,2,7,7,3,7,3,3,3,1,1,2,2,2,2,2,3,3,4,2,1,1,3,2,3,2,8,8,9,3,6,6,3,7,5,2,2,NA,3,4,4,8,2,6,1,8,2,3,1,3,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,9,3,5,9,9,10,1,2,1,1,2,1,3,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,6,5,2,2,9,5,NA,NA,1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,1,1,4,2,3,NA,NA,NA,NA,2,2,8,52,2,1,NA,NA,NA,NA,NA,NA,65,2,16,1,"02",1,2,3,1,1,1,1,1,354,1,1,1,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"41",49,NA,2,2,23,2,2,6,5,6,2,2,2,3,2,3,4,4,2,2,1,3,4,2,5,7,5,4,7,5,4,5,1,2,3,3,3,2,2,3,1,3,3,1,3,2,2,2,2,7,7,7,3,6,4,7,3,7,7,3,NA,6,4,5,5,3,7,7,4,7,8,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6,4,6,5,8,8,1,2,1,3,3,1,1,2,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,NA,5,NA,1,3,5,NA,NA,NA,3,5,17,2,NA,5,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,4,3,NA,NA,NA,NA,1,2,1,47,3,31,96,NA,NA,NA,NA,NA,3,31,20,1,"43",1,2,10,5,3,1,3,1,172,1,1,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"42",50,1185,4,3,1,2,2,4,2,3,3,4,1,3,3,3,3,3,2,2,1,2,3,4,5,7,4,4,5,4,3,3,2,2,2,3,4,1,1,2,1,2,2,2,2,2,4,2,3,7,7,7,2,2,3,5,1,8,7,2,NA,1,2,4,1,1,3,5,1,6,4,2,3,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,7,4,4,4,8,8,1,1,3,1,2,1,3,2,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,NA,2,1,2,1,4,NA,NA,NA,3,2,2,5,9,5,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,4,3,NA,NA,NA,NA,1,2,1,68,2,27,60,NA,NA,NA,NA,NA,27,27,14,2,"Y3",3,5,4,1,3,1,1,1,124,1,1,1,3,3,1,5,47,4,6,4,2,3,3,4,2,2,3,17,4,2,1,2,1,1,3,2,68,1,14,1,1,10,4,1
"43",51,1186,2,3,1,2,1,5,3,7,1,2,2,2,3,2,1,2,1,4,4,3,1,2,1,3,6,2,4,1,4,2,1,1,1,1,2,3,3,3,3,4,3,2,1,4,2,1,3,7,5,9,3,5,7,3,8,2,4,2,NA,6,7,4,6,4,5,5,7,3,6,3,1,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,7,3,5,5,8,7,2,1,1,1,2,1,2,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,2,4,NA,1,2,5,NA,NA,NA,6,1,NA,3,4,3,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,4,3,NA,NA,NA,NA,1,2,1,28,2,1,NA,NA,NA,NA,NA,NA,1,1,16,1,"13",2,1,3,2,2,1,1,1,360,1,1,1,3,6,1,3,16,2,4,3,2,3,4,3,3,2,3,16,4,3,2,2,2,3,1,2,28,1,16,1,1,10,4,1
"44",52,433,5,4,19,5,4,5,5,5,2,3,3,3,3,3,4,3,2,3,1,3,4,2,6,6,5,6,7,6,6,3,1,1,3,1,1,1,2,3,1,4,4,4,3,3,4,2,4,1,6,NA,1,5,3,3,1,5,2,1,NA,6,8,1,1,4,5,1,1,3,9,5,NA,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,10,0,5,7,10,10,0,2,1,1,2,1,3,1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,1,2,NA,NA,6,5,2,3,4,5,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,4,1,2,3,NA,NA,NA,NA,1,2,1,39,1,1,NA,NA,NA,NA,NA,NA,56,69,16,2,"16",4,2,3,1,4,1,1,1,94,1,1,1,3,8,1,3,90,1,5,4,2,5,5,5,5,5,4,18,5,2,1,1,1,3,4,2,39,1,16,1,1,2,4,1
"45",53,NA,3,3,17,3,5,6,6,6,1,3,1,4,4,3,4,3,3,3,4,3,1,2,5,4,7,4,6,3,5,2,1,2,2,1,2,2,2,4,4,4,4,4,2,2,2,3,4,6,6,4,3,7,7,2,8,4,5,4,NA,5,5,2,8,3,8,7,7,2,5,3,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,9,3,4,5,7,7,3,2,1,1,2,1,3,1,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,1,2,3,3,1,NA,NA,4,2,2,4,9,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,4,2,NA,NA,NA,NA,1,2,1,56,2,1,NA,NA,NA,NA,NA,NA,1,1,14,1,"02",4,1,4,4,3,1,1,1,185,1,1,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"46",54,198,5,3,30,3,3,7,5,7,1,4,1,3,4,3,3,4,2,4,1,2,4,3,4,5,2,1,5,3,4,2,1,1,3,1,4,1,2,4,4,4,3,4,3,2,4,4,4,7,6,8,3,7,7,5,9,5,5,1,NA,5,3,6,8,1,7,6,5,3,7,1,3,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,4,5,3,2,4,5,2,1,3,2,3,3,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,1,2,2,3,1,2,NA,NA,4,5,1,1,8,3,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,4,3,NA,NA,NA,NA,NA,2,1,8,21,2,16,91,1,NA,5,NA,NA,16,18,13,2,"Y1",2,1,5,4,2,5,1,1,333,1,1,1,3,3,1,8,15,2,1,3,1,2,4,5,4,5,2,19,2,4,1,4,2,4,4,2,21,1,13,1,1,30,3,1
